<relative> שׁ
Shimronite שׁמרני
highness שׁנאן
gird שׁנס
Shaalabbin שׁעלבין
horrible שׁערורי
Shimrath שׁמרת
Shenazzar שׁנאצר
Shinar שׁנער
Shaalbonite שׁעלבני
Sheariah שׁעריה
sun שׁמשׁ
year שׁנה
spoil שׁסה
Shaalim שׁעלים
Shaaraim שׁערים
Samson שׁמשׁון
sleep שׁנה
plunder שׁסס
lean שׁען
Shaashgaz שׁעשׁגז
-shemeshite שׁמשׁי
change שׁנה
cleft שׁסע
paste שׁעע
delight שׁעשׁועים
Shamsherai שׁמשׁרי
ivory שׁנהבים
cleave שׁסע
take delight שׁעע
sweep bare שׁפה
Shumathite שׁמתי
second שׁני
cut to pieces? שׁסף
Shaaph שׁעף
Shepho שׁפו
tooth שׁן
scarlet שׁני
look שׁעה
gate שׁער
judgment שׁפוט
Shupham שׁפופם
Shuppim שׁפים
inactivity שׁפלות
<uncertain> שׁפרה
quiet שׁקט
Shephuphan שׁפופן
snake שׁפיפן
Shepham שׁפם
Shiphrah שׁפרה
be at peace שׁקט
yogurt שׁפות
Shaphir שׁפיר
Shapham שׁפם
state tent שׁפריר
shekel שׁקל
maidservant שׁפחה
rubbish-heap שׁפך
Shiphmite שׁפמי
set שׁפת
weigh שׁקל
judgment שׁפט
pour שׁפך
rock badger שׁפן
packsaddles שׁפתים
sycamore שׁקמה
Shaphat שׁפט
penis שׁפכה
Shaphan שׁפן
flowing שׁצף
collapse שׁקע
judge שׁפט
low שׁפל
abundance שׁפע
almond tree שׁקד
hollow spot שׁקערורה
Shephatiah שׁפטיה
low state שׁפל
mass שׁפעה
be emaciated שׁקד
<uncertain> שׁקף
Shephatiah שׁפטיהו
low שׁפל
Shiphi שׁפעי
be wakeful שׁקד
look שׁקף
Shiphtan שׁפטן
be low שׁפל
antlers שׁפר
give drink שׁקה
windows שׁקפים
track שׁפי
low state שׁפלה
Shepher שׁפר
drink שׁקוי
something detestable שׁקץ
Shephi שׁפי
low land שׁפלה
be pleasing שׁפר
idol שׁקוץ
detest שׁקץ
rush שׁקק
Sharon שׁרון
Sharar שׁרר
Sheshbazzar שׁשׁבצר
Seth שׁת
lie שׁקר
Sharonite שׁרוני
stubbornness שׁררות
<uncertain> שׁשׁה
drink שׁתה
do falsely שׁקר
Shitrai שׁרטי
root שׁרשׁ
sixth שׁשׁי
texture שׁתי
watering trough שׁקת
Sharai שׁרי
Sheresh שׁרשׁ
Sheshai שׁשׁי
drinking שׁתי
navel שׁר
arrow-head שׁריה
root שׁרשׁ
Shashai שׁשׁי
drinking שׁתיה
bracelet שׁר
scaly mail שׁריון
chain שׁרשׁרה
Sheshach שׁשׁך
layer שׁתיל
heat שׁרב
sinew שׁריר
cultic service שׁרת
Sheshan שׁשׁן
transplant שׁתל
Sherebiah שׁרביה
swarming creatures שׁרץ
serve שׁרת
Shashak שׁשׁק
Shuthelahite שׁתלחי
staff שׁרביט
swarm שׁרץ
six שׁשׁ
minium שׁשׁר
<uncertain> שׁתם
<uncertain> שׁרה
whistle שׁרק
linen שׁשׁ
<uncertain> שׁשׂה
piss שׁתן
let loose שׁרה
whistling שׁרקה
alabaster שׁשׁ
posterior שׁת
be silent שׁתק
Sharuhen שׁרוחן
whistling שׁרקה
walk שׁשׁא
defiance שׁת
Shethar שׁתר
<uncertain> שׁתת
satiety שׂבעה
<uncertain> שׂדרה
Sucathite שׂוכתי
turn aside שׂטה
leaven שׂאר
hope שׂבר
lamb שׂה
<uncertain> שׂור
bear grudge שׂטם
uprising שׂאת
examine שׂבר
witness שׂהד
<animal> שׂורה
adversary שׂטן
swelling שׂאת
be great שׂגא
<ornament> שׂהרנים
rejoice שׂושׂ
bear grudge שׂטן
net שׂבכה
be high שׂגב
network of boughs שׂובך
thought שׂח
accusation שׂטנה
Sebam שׂבם
be great שׂגה
<uncertain> שׂוג
swim שׂחה
Sitnah שׂטנה
Sibmah שׂבמה
Segub שׂגוב
<uncertain> שׂוח
swimming שׂחו
excellency שׂיא
satiety שׂבע
exalted שׂגיא
fall away שׂוט
laughter שׂחוק
Siyon שׂיאן
sated שׂבע
draw שׂדד
<uncertain> שׂוך
squeeze out שׂחט
age שׂיב
satiety שׂבע
open field שׂדה
fence שׂוך
<uncertain> שׂחיף
be old שׂיב
be sated שׂבע
open field שׂדי
brushwood שׂוכה
laugh שׂחק
age שׂיבה
satiety שׂבעה
Siddim שׂדים
Socoh שׂוכה
<uncertain> שׂט
excrement שׂיג
lime שׂיד
ship שׂכיה
hire שׂכר
curtain שׂמיכה
Seir שׂעיר
whitewash שׂיד
Sakia שׂכיה
quail שׂלו
mantle שׂמלה
goat שׂעירה
shrub שׂיח
knife שׂכין
Salma שׂלמא
Samlah שׂמלה
Seirah שׂעירה
concern שׂיח
hired שׂכיר
wrapper שׂלמה
gecko שׂממית
disquieting thoughts שׂעפים
be concerned with שׂיח
weave שׂכך
Salmon שׂלמה
hate שׂנא
hair שׂער
concern שׂיחה
insight שׂכל
Salmon שׂלמון
hatred שׂנאה
storm שׂער
put שׂים
exchange שׂכל
left-hand side שׂמאל
disdained שׂניא
bristling שׂער
thorn שׂך
prosper שׂכל
turn left שׂמאל
Senir שׂניר
know שׂער
<uncertain> שׂך
folly שׂכלות
left-hand שׂמאלי
he-goat שׂעיר
bristle שׂער
harpoon שׂכה
hire שׂכר
joyful שׂמח
demon שׂעיר
whirl שׂער
Secu שׂכו
hire שׂכר
rejoice שׂמח
shower of rain שׂעיר
barley שׂערה
cock שׂכוי
Sacar שׂכר
joy שׂמחה
hairy שׂעיר
single hair שׂערה
storm שׂערה
<uncertain> שׂקד
Serug שׂרוג
Sirion שׂרין
vine שׂרקה
Seorim שׂערים
seduce שׂקר
sandal-thong שׂרוך
carded שׂריק
rule שׂרר
lip שׂפה
Sarsekim שׂר סכים
Serah שׂרח
run aimlessly שׂרך
rejoicing שׂשׂון
be scabby שׂפח
chief שׂר
tattoo שׂרט
deform שׂרע
stop שׂתם
moustache שׂפם
Sharezer שׂראצר
tattoo שׂרט
